region,semana,paso,nom_comuna,comuna,fecha_inicio,fecha_termino,var_salidas,var_salidas_cota_inferior,var_salidas_cota_superior
8,101,3.0,LAJA,8304,2021-12-11,2021-12-12,1.183930434575193,1.183930434575193,1.183930434575193
8,102,3.0,LAJA,8304,2021-12-18,2021-12-19,1.193188951106274,1.193188951106274,1.193188951106274
8,103,4.0,LAJA,8304,2021-12-25,2021-12-26,1.1066132225780394,1.1066132225780394,1.1066132225780394
8,104,4.0,LAJA,8304,2022-01-01,2022-01-02,1.101941143524748,1.101941143524748,1.101941143524748
8,105,,LAJA,8304,2022-01-08,2022-01-09,1.2544699887593054,1.2544699887593054,1.2544699887593054
8,106,4.0,LAJA,8304,2022-01-15,2022-01-16,1.2691257717120914,1.2691257717120914,1.2691257717120914
8,107,4.0,LAJA,8304,2022-01-22,2022-01-22,1.1560589448230951,1.1560589448230951,1.1560589448230951
8,108,4.0,LAJA,8304,2022-01-29,2022-01-30,1.199375484252896,1.199375484252896,1.199375484252896
8,109,4.0,LAJA,8304,2022-02-05,2022-02-06,1.1697782314202707,1.1697782314202707,1.1697782314202707
8,110,3.0,LAJA,8304,2022-02-12,2022-02-13,1.2188962503198368,1.2188962503198368,1.2188962503198368
8,111,3.0,LAJA,8304,2022-02-19,2022-02-20,1.1936380861726557,1.1936380861726557,1.1936380861726557
8,112,3.0,LAJA,8304,2022-02-26,2022-02-27,1.2021918832151108,1.2021918832151108,1.2021918832151108
8,113,3.0,LAJA,8304,2022-03-05,2022-03-06,1.266778441785437,1.266778441785437,1.266778441785437
8,114,3.0,LAJA,8304,2022-03-12,2022-03-13,1.1379378277437375,1.1379378277437375,1.1379378277437375
8,115,3.0,LAJA,8304,2022-03-19,2022-03-20,1.225087415939388,1.225087415939388,1.225087415939388
8,116,3.0,LAJA,8304,2022-03-26,2022-03-27,1.1233017788774515,1.1233017788774515,1.1233017788774515
8,117,3.0,LAJA,8304,2022-04-02,2022-04-03,1.3367468584858766,1.300815969983348,1.3726777469884053
8,118,,LAJA,8304,2022-04-09,2022-04-10,1.4379942171179805,0.4986461218269501,2.3773423124090107
8,119,,LAJA,8304,2022-04-16,2022-04-17,1.3938903736792418,0.4139703652902982,2.373810382068186
8,120,,LAJA,8304,2022-04-23,2022-04-24,1.147103166803105,1.127782902278016,1.1664234313281947
8,121,,LAJA,8304,2022-04-30,2022-05-01,1.3486370008973834,1.3486370008973834,1.3486370008973834
8,122,,LAJA,8304,2022-05-07,2022-05-08,1.3999389322189493,1.3999389322189493,1.3999389322189493
8,123,,LAJA,8304,2022-05-14,2022-05-15,1.436916335455822,1.436916335455822,1.436916335455822
8,124,,LAJA,8304,2022-05-21,2022-05-22,1.2328440876040658,1.2328440876040658,1.2328440876040658
8,125,,LAJA,8304,2022-05-28,2022-05-29,1.3659127363876709,1.3659127363876709,1.3659127363876709
8,126,,LAJA,8304,2022-06-04,2022-06-05,1.1551765615975995,1.1551765615975995,1.1551765615975995
8,127,,LAJA,8304,2022-06-11,2022-06-12,1.1817357008153764,1.1817357008153764,1.1817357008153764
8,128,,LAJA,8304,2022-06-18,2022-06-19,1.2152353953688404,1.2152353953688404,1.2152353953688404
8,129,,LAJA,8304,2022-06-25,2022-06-26,1.1910878518018726,1.1910878518018726,1.1910878518018726
8,130,,LAJA,8304,2022-07-02,2022-07-03,1.130656136646128,1.130656136646128,1.130656136646128
8,131,,LAJA,8304,2022-07-09,2022-07-10,1.1379757991699933,1.1379757991699933,1.1379757991699933
8,132,,LAJA,8304,2022-07-16,2022-07-17,1.1405726561128051,1.1405726561128051,1.1405726561128051
8,8,,MULCHÉN,8305,2020-03-01,2020-03-01,0.9699151578875738,0.9462688919293101,0.9935614238458376
8,9,0.0,MULCHÉN,8305,2020-03-07,2020-03-08,0.9995338161674202,0.9995338161674202,0.9995338161674202
8,10,0.0,MULCHÉN,8305,2020-03-14,2020-03-15,1.0069047599867418,1.0069047599867418,1.0069047599867418
8,11,0.0,MULCHÉN,8305,2020-03-21,2020-03-22,0.8526760752103508,0.8526760752103508,0.8526760752103508
8,12,0.0,MULCHÉN,8305,2020-03-28,2020-03-29,0.8528465230239589,0.8528465230239589,0.8528465230239589
8,13,0.0,MULCHÉN,8305,2020-04-04,2020-04-05,0.8814700108301579,0.8798103420393375,0.8831296796209781
8,14,0.0,MULCHÉN,8305,2020-04-11,2020-04-12,0.8583450790231252,0.8482920595711934,0.868398098475057
8,15,0.0,MULCHÉN,8305,2020-04-18,2020-04-19,0.8994841383849879,0.8994841383849879,0.8994841383849879
8,16,0.0,MULCHÉN,8305,2020-04-25,2020-04-26,0.8912117094587853,0.8912117094587853,0.8912117094587853
8,17,0.0,MULCHÉN,8305,2020-05-02,2020-05-03,0.9154754854584604,0.913129669219947,0.9178213016969742
8,18,0.0,MULCHÉN,8305,2020-05-09,2020-05-10,0.9285511185319062,0.9285511185319062,0.9285511185319062
8,19,0.0,MULCHÉN,8305,2020-05-16,2020-05-17,0.9081009578773956,0.9081009578773956,0.9081009578773956
8,20,0.0,MULCHÉN,8305,2020-05-23,2020-05-24,0.896628421711234,0.8906166103141298,0.9026402331083384
8,21,0.0,MULCHÉN,8305,2020-05-30,2020-05-31,0.8531009468363406,0.8142523145055977,0.8919495791670836
8,22,0.0,MULCHÉN,8305,2020-06-06,2020-06-07,0.8856774599802696,0.8856774599802696,0.8856774599802696
8,23,0.0,MULCHÉN,8305,2020-06-13,2020-06-14,0.930489984284688,0.930489984284688,0.930489984284688
8,24,0.0,MULCHÉN,8305,2020-06-20,2020-06-21,0.907028379303254,0.907028379303254,0.907028379303254
8,25,0.0,MULCHÉN,8305,2020-06-27,2020-06-28,0.8966956426720877,0.8966956426720877,0.8966956426720877
8,26,0.0,MULCHÉN,8305,2020-07-04,2020-07-05,0.9097751151508352,0.8744072079019414,0.945143022399729
8,27,0.0,MULCHÉN,8305,2020-07-11,2020-07-12,0.8269320383923859,0.680074483426927,0.9737895933578452
8,28,0.0,MULCHÉN,8305,2020-07-18,2020-07-19,0.8952077673146891,0.8952077673146891,0.8952077673146891
8,29,3.0,MULCHÉN,8305,2020-07-25,2020-07-26,0.9153227401298554,0.9153227401298554,0.9153227401298554
