Region,Codigo region,Poblacion,fecha,numero
Metropolitana,13,8125072,2020-04-17,3670
O’Higgins,06,991063,2020-04-17,50
Maule,07,1131939,2020-04-17,367
Ñuble,16,511551,2020-04-17,159
Biobío,08,1663696,2020-04-17,80
Araucanía,09,1014343,2020-04-17,220
Los Ríos,14,405835,2020-04-17,71
Los Lagos,10,891440,2020-04-17,198
Aysén,11,107297,2020-04-17,8
Magallanes,12,178362,2020-04-17,69
Arica y Parinacota,15,252110,2020-04-18,
Tarapacá,01,382773,2020-04-18,60
Antofagasta,02,691854,2020-04-18,200
Atacama,03,314709,2020-04-18,50
Coquimbo,04,836096,2020-04-18,
Valparaíso,05,1960170,2020-04-18,330
Metropolitana,13,8125072,2020-04-18,2744
O’Higgins,06,991063,2020-04-18,
Maule,07,1131939,2020-04-18,176
Ñuble,16,511551,2020-04-18,76
Biobío,08,1663696,2020-04-18,751
Araucanía,09,1014343,2020-04-18,169
Los Ríos,14,405835,2020-04-18,91
Los Lagos,10,891440,2020-04-18,315
Aysén,11,107297,2020-04-18,8
Magallanes,12,178362,2020-04-18,48
Arica y Parinacota,15,252110,2020-04-19,155
Tarapacá,01,382773,2020-04-19,0
Antofagasta,02,691854,2020-04-19,129
Atacama,03,314709,2020-04-19,31
Coquimbo,04,836096,2020-04-19,
Valparaíso,05,1960170,2020-04-19,166
Metropolitana,13,8125072,2020-04-19,3475
O’Higgins,06,991063,2020-04-19,0
Maule,07,1131939,2020-04-19,0
Ñuble,16,511551,2020-04-19,127
Biobío,08,1663696,2020-04-19,358
Araucanía,09,1014343,2020-04-19,122
Los Ríos,14,405835,2020-04-19,0
Los Lagos,10,891440,2020-04-19,96
Aysén,11,107297,2020-04-19,6
Magallanes,12,178362,2020-04-19,93
Arica y Parinacota,15,252110,2020-04-20,48
Tarapacá,01,382773,2020-04-20,0
Antofagasta,02,691854,2020-04-20,197
Atacama,03,314709,2020-04-20,33
Coquimbo,04,836096,2020-04-20,
Valparaíso,05,1960170,2020-04-20,177
Metropolitana,13,8125072,2020-04-20,3276
O’Higgins,06,991063,2020-04-20,72
Maule,07,1131939,2020-04-20,328
Ñuble,16,511551,2020-04-20,149
Biobío,08,1663696,2020-04-20,214
Araucanía,09,1014343,2020-04-20,376
Los Ríos,14,405835,2020-04-20,121
Los Lagos,10,891440,2020-04-20,139
Aysén,11,107297,2020-04-20,0
Magallanes,12,178362,2020-04-20,48
Arica y Parinacota,15,252110,2020-04-21,52
Tarapacá,01,382773,2020-04-21,30
Antofagasta,02,691854,2020-04-21,147
Atacama,03,314709,2020-04-21,33
Coquimbo,04,836096,2020-04-21,
Valparaíso,05,1960170,2020-04-21,142
Metropolitana,13,8125072,2020-04-21,2126
O’Higgins,06,991063,2020-04-21,65
Maule,07,1131939,2020-04-21,188
Ñuble,16,511551,2020-04-21,73
Biobío,08,1663696,2020-04-21,216
Araucanía,09,1014343,2020-04-21,206
Los Ríos,14,405835,2020-04-21,58
Los Lagos,10,891440,2020-04-21,149
