Ventiladores,fecha,numero
ocupados,2021-03-19,3141
total,2021-03-20,3361
disponibles,2021-03-20,198
ocupados,2021-03-20,3163
total,2021-03-21,3398
disponibles,2021-03-21,194
ocupados,2021-03-21,3204
total,2021-03-22,3409
disponibles,2021-03-22,177
ocupados,2021-03-22,3232
total,2021-03-23,3437
disponibles,2021-03-23,178
ocupados,2021-03-23,3259
total,2021-03-24,3483
disponibles,2021-03-24,174
ocupados,2021-03-24,3309
total,2021-03-25,3518
disponibles,2021-03-25,182
ocupados,2021-03-25,3336
total,2021-03-26,3521
disponibles,2021-03-26,169
ocupados,2021-03-26,3352
total,2021-03-27,3560
disponibles,2021-03-27,147
ocupados,2021-03-27,3413
total,2021-03-28,3579
disponibles,2021-03-28,165
ocupados,2021-03-28,3414
total,2021-03-29,3607
disponibles,2021-03-29,146
ocupados,2021-03-29,3461
total,2021-03-30,3647
disponibles,2021-03-30,132
ocupados,2021-03-30,3515
total,2021-03-31,3698
disponibles,2021-03-31,139
ocupados,2021-03-31,3559
total,2021-04-01,3776
disponibles,2021-04-01,159
ocupados,2021-04-01,3617
total,2021-04-02,3853
disponibles,2021-04-02,169
ocupados,2021-04-02,3684
total,2021-04-03,3913
disponibles,2021-04-03,199
ocupados,2021-04-03,3714
total,2021-04-04,3922
disponibles,2021-04-04,189
ocupados,2021-04-04,3733
total,2021-04-05,3931
disponibles,2021-04-05,164
ocupados,2021-04-05,3767
total,2021-04-06,3954
disponibles,2021-04-06,153
ocupados,2021-04-06,3801
total,2021-04-07,4015
disponibles,2021-04-07,180
ocupados,2021-04-07,3835
total,2021-04-08,4073
disponibles,2021-04-08,189
ocupados,2021-04-08,3884
total,2021-04-09,4103
disponibles,2021-04-09,209
ocupados,2021-04-09,3894
total,2021-04-10,4123
disponibles,2021-04-10,173
ocupados,2021-04-10,3950
total,2021-04-11,4150
disponibles,2021-04-11,174
ocupados,2021-04-11,3976
total,2021-04-12,4158
disponibles,2021-04-12,135
ocupados,2021-04-12,4023
total,2021-04-13,4175
disponibles,2021-04-13,150
ocupados,2021-04-13,4025
total,2021-04-14,4272
disponibles,2021-04-14,172
ocupados,2021-04-14,4100
total,2021-04-15,4296
disponibles,2021-04-15,214
ocupados,2021-04-15,4082
total,2021-04-16,4335
disponibles,2021-04-16,198
ocupados,2021-04-16,4137
total,2021-04-17,4357
disponibles,2021-04-17,193
ocupados,2021-04-17,4164
total,2021-04-18,4373
disponibles,2021-04-18,198
ocupados,2021-04-18,4175
total,2021-04-19,4389
disponibles,2021-04-19,198
ocupados,2021-04-19,4191
total,2021-04-20,4390
disponibles,2021-04-20,176
ocupados,2021-04-20,4214
total,2021-04-21,4420
disponibles,2021-04-21,213
ocupados,2021-04-21,4207
total,2021-04-22,4459
disponibles,2021-04-22,214
ocupados,2021-04-22,4245
total,2021-04-23,4491
disponibles,2021-04-23,226
ocupados,2021-04-23,4265
total,2021-04-24,4488
disponibles,2021-04-24,232
ocupados,2021-04-24,4256
total,2021-04-25,4499
disponibles,2021-04-25,244
ocupados,2021-04-25,4255
total,2021-04-26,4495
disponibles,2021-04-26,217
ocupados,2021-04-26,4278
total,2021-04-27,4512
disponibles,2021-04-27,217
ocupados,2021-04-27,4295
total,2021-04-28,4518
disponibles,2021-04-28,214
ocupados,2021-04-28,4304
total,2021-04-29,4525
disponibles,2021-04-29,210
ocupados,2021-04-29,4315
total,2021-04-30,4538
disponibles,2021-04-30,252
ocupados,2021-04-30,4286
total,2021-05-01,4539
disponibles,2021-05-01,238
ocupados,2021-05-01,4301
total,2021-05-02,4541
disponibles,2021-05-02,257
ocupados,2021-05-02,4284
total,2021-05-03,4535
disponibles,2021-05-03,240
ocupados,2021-05-03,4295
total,2021-05-04,4536
disponibles,2021-05-04,231
ocupados,2021-05-04,4305
total,2021-05-05,4539
disponibles,2021-05-05,253
ocupados,2021-05-05,4286
total,2021-05-06,4543
disponibles,2021-05-06,283
ocupados,2021-05-06,4260
total,2021-05-07,4544
disponibles,2021-05-07,294
ocupados,2021-05-07,4250
total,2021-05-08,4532
disponibles,2021-05-08,311
ocupados,2021-05-08,4221
total,2021-05-09,4527
disponibles,2021-05-09,304
ocupados,2021-05-09,4223
total,2021-05-10,4523
disponibles,2021-05-10,299
ocupados,2021-05-10,4224
total,2021-05-11,4525
disponibles,2021-05-11,313
ocupados,2021-05-11,4212
total,2021-05-12,4505
disponibles,2021-05-12,347
ocupados,2021-05-12,4158
total,2021-05-13,4506
disponibles,2021-05-13,368
ocupados,2021-05-13,4138
total,2021-05-14,4496
disponibles,2021-05-14,332
ocupados,2021-05-14,4164
total,2021-05-15,4484
disponibles,2021-05-15,337
ocupados,2021-05-15,4147
total,2021-05-16,4480
disponibles,2021-05-16,341
ocupados,2021-05-16,4139
total,2021-05-17,4483
disponibles,2021-05-17,323
ocupados,2021-05-17,4160
total,2021-05-18,4481
disponibles,2021-05-18,315
ocupados,2021-05-18,4166
total,2021-05-19,4459
disponibles,2021-05-19,282
ocupados,2021-05-19,4177
total,2021-05-20,4463
disponibles,2021-05-20,308
ocupados,2021-05-20,4155
total,2021-05-21,4459
disponibles,2021-05-21,291
ocupados,2021-05-21,4168
total,2021-05-22,4453
disponibles,2021-05-22,278
ocupados,2021-05-22,4175
total,2021-05-23,4438
disponibles,2021-05-23,248
ocupados,2021-05-23,4190
total,2021-05-24,4435
disponibles,2021-05-24,218
ocupados,2021-05-24,4217
total,2021-05-25,4435
disponibles,2021-05-25,181
ocupados,2021-05-25,4254
total,2021-05-26,4433
disponibles,2021-05-26,204
ocupados,2021-05-26,4229
total,2021-05-27,4446
disponibles,2021-05-27,217
ocupados,2021-05-27,4229
total,2021-05-28,4458
disponibles,2021-05-28,207
ocupados,2021-05-28,4251
total,2021-05-29,4460
disponibles,2021-05-29,195
ocupados,2021-05-29,4265
total,2021-05-30,4444
disponibles,2021-05-30,178
ocupados,2021-05-30,4266
total,2021-05-31,4435
disponibles,2021-05-31,150
ocupados,2021-05-31,4285
total,2021-06-01,4450
disponibles,2021-06-01,147
ocupados,2021-06-01,4303
total,2021-06-02,4458
disponibles,2021-06-02,146
ocupados,2021-06-02,4312
total,2021-06-03,4469
disponibles,2021-06-03,149
ocupados,2021-06-03,4320
total,2021-06-04,4472
disponibles,2021-06-04,157
ocupados,2021-06-04,4315
total,2021-06-05,4473
disponibles,2021-06-05,167
ocupados,2021-06-05,4306
total,2021-06-06,4484
disponibles,2021-06-06,176
ocupados,2021-06-06,4308
total,2021-06-07,4486
disponibles,2021-06-07,166
ocupados,2021-06-07,4320
total,2021-06-08,4490
disponibles,2021-06-08,145
ocupados,2021-06-08,4345
total,2021-06-09,4498
disponibles,2021-06-09,149
ocupados,2021-06-09,4349
total,2021-06-10,4513
disponibles,2021-06-10,182
ocupados,2021-06-10,4331
total,2021-06-11,4516
disponibles,2021-06-11,195
ocupados,2021-06-11,4321
total,2021-06-12,4523
disponibles,2021-06-12,180
ocupados,2021-06-12,4343
total,2021-06-13,4522
disponibles,2021-06-13,180
ocupados,2021-06-13,4342
total,2021-06-14,4525
disponibles,2021-06-14,160
ocupados,2021-06-14,4365
total,2021-06-15,4525
disponibles,2021-06-15,167
ocupados,2021-06-15,4358
total,2021-06-16,4525
disponibles,2021-06-16,183
ocupados,2021-06-16,4342
total,2021-06-17,4515
disponibles,2021-06-17,175
ocupados,2021-06-17,4340
total,2021-06-18,4516
disponibles,2021-06-18,188
ocupados,2021-06-18,4328
total,2021-06-19,4513
disponibles,2021-06-19,191
ocupados,2021-06-19,4322
total,2021-06-20,4511
disponibles,2021-06-20,220
ocupados,2021-06-20,4291
total,2021-06-21,4513
disponibles,2021-06-21,227
ocupados,2021-06-21,4286
total,2021-06-22,4509
disponibles,2021-06-22,210
ocupados,2021-06-22,4299
total,2021-06-23,4517
disponibles,2021-06-23,188
ocupados,2021-06-23,4329
total,2021-06-24,4507
disponibles,2021-06-24,229
ocupados,2021-06-24,4278
total,2021-06-25,4508
disponibles,2021-06-25,263
ocupados,2021-06-25,4245
total,2021-06-26,4504
disponibles,2021-06-26,247
ocupados,2021-06-26,4257
total,2021-06-27,4495
disponibles,2021-06-27,279
ocupados,2021-06-27,4216
total,2021-06-28,4494
disponibles,2021-06-28,266
ocupados,2021-06-28,4228
total,2021-06-29,4484
disponibles,2021-06-29,274
ocupados,2021-06-29,4210
total,2021-06-30,4476
disponibles,2021-06-30,263
ocupados,2021-06-30,4213
total,2021-07-01,4463
disponibles,2021-07-01,283
ocupados,2021-07-01,4180
total,2021-07-02,4436
disponibles,2021-07-02,286
ocupados,2021-07-02,4150
total,2021-07-03,4412
disponibles,2021-07-03,287
ocupados,2021-07-03,4125
total,2021-07-04,4390
disponibles,2021-07-04,325
ocupados,2021-07-04,4065
total,2021-07-05,4391
disponibles,2021-07-05,334
ocupados,2021-07-05,4057
total,2021-07-06,4381
disponibles,2021-07-06,325
ocupados,2021-07-06,4056
total,2021-07-07,4350
disponibles,2021-07-07,352
ocupados,2021-07-07,3998
total,2021-07-08,4311
disponibles,2021-07-08,352
ocupados,2021-07-08,3959
total,2021-07-09,4291
disponibles,2021-07-09,359
ocupados,2021-07-09,3932
total,2021-07-10,4256
disponibles,2021-07-10,341
ocupados,2021-07-10,3915
total,2021-07-11,4243
disponibles,2021-07-11,399
ocupados,2021-07-11,3844
total,2021-07-12,4238
disponibles,2021-07-12,390
ocupados,2021-07-12,3848
total,2021-07-13,4214
disponibles,2021-07-13,378
ocupados,2021-07-13,3836
total,2021-07-14,4173
disponibles,2021-07-14,398
ocupados,2021-07-14,3775
total,2021-07-15,4159
disponibles,2021-07-15,443
ocupados,2021-07-15,3716
total,2021-07-16,4120
disponibles,2021-07-16,441
ocupados,2021-07-16,3679
total,2021-07-17,4064
disponibles,2021-07-17,469
ocupados,2021-07-17,3595
total,2021-07-18,4065
disponibles,2021-07-18,492
ocupados,2021-07-18,3573
total,2021-07-19,4063
disponibles,2021-07-19,521
ocupados,2021-07-19,3542
total,2021-07-20,4059
disponibles,2021-07-20,513
ocupados,2021-07-20,3546
total,2021-07-21,4015
disponibles,2021-07-21,522
ocupados,2021-07-21,3493
total,2021-07-22,3970
disponibles,2021-07-22,496
ocupados,2021-07-22,3474
total,2021-07-23,3909
disponibles,2021-07-23,507
ocupados,2021-07-23,3402
total,2021-07-24,3902
disponibles,2021-07-24,487
ocupados,2021-07-24,3415
total,2021-07-25,3867
disponibles,2021-07-25,502
ocupados,2021-07-25,3365
total,2021-07-26,3860
disponibles,2021-07-26,510
ocupados,2021-07-26,3350
total,2021-07-27,3854
disponibles,2021-07-27,507
ocupados,2021-07-27,3347
total,2021-07-28,3806
disponibles,2021-07-28,540
ocupados,2021-07-28,3266
total,2021-07-29,3769
disponibles,2021-07-29,515
ocupados,2021-07-29,3254
total,2021-07-30,3715
disponibles,2021-07-30,528
ocupados,2021-07-30,3187
total,2021-07-31,3666
disponibles,2021-07-31,509
ocupados,2021-07-31,3157
total,2021-08-01,3641
disponibles,2021-08-01,542
ocupados,2021-08-01,3099
total,2021-08-02,3608
disponibles,2021-08-02,525
ocupados,2021-08-02,3083
total,2021-08-03,3588
disponibles,2021-08-03,525
ocupados,2021-08-03,3063
total,2021-08-04,3478
disponibles,2021-08-04,519
ocupados,2021-08-04,2959
total,2021-08-05,3421
disponibles,2021-08-05,501
ocupados,2021-08-05,2920
total,2021-08-06,3416
disponibles,2021-08-06,494
ocupados,2021-08-06,2922
total,2021-08-07,3399
disponibles,2021-08-07,494
ocupados,2021-08-07,2905
total,2021-08-08,3375
disponibles,2021-08-08,555
ocupados,2021-08-08,2820
total,2021-08-09,3374
disponibles,2021-08-09,563
ocupados,2021-08-09,2811
total,2021-08-10,3354
disponibles,2021-08-10,585
ocupados,2021-08-10,2769
total,2021-08-11,3337
disponibles,2021-08-11,535
ocupados,2021-08-11,2802
total,2021-08-12,3327
disponibles,2021-08-12,537
ocupados,2021-08-12,2790
total,2021-08-13,3309
disponibles,2021-08-13,536
ocupados,2021-08-13,2773
total,2021-08-14,3304
disponibles,2021-08-14,508
ocupados,2021-08-14,2796
total,2021-08-15,3263
disponibles,2021-08-15,519
ocupados,2021-08-15,2744
total,2021-08-16,3261
disponibles,2021-08-16,535
ocupados,2021-08-16,2726
total,2021-08-17,3256
disponibles,2021-08-17,520
ocupados,2021-08-17,2736
total,2021-08-18,3240
disponibles,2021-08-18,534
ocupados,2021-08-18,2706
total,2021-08-19,3213
disponibles,2021-08-19,498
ocupados,2021-08-19,2715
total,2021-08-20,3183
disponibles,2021-08-20,507
ocupados,2021-08-20,2676
total,2021-08-21,3165
disponibles,2021-08-21,542
ocupados,2021-08-21,2623
total,2021-08-22,3117
disponibles,2021-08-22,578
ocupados,2021-08-22,2539
total,2021-08-23,3109
disponibles,2021-08-23,568
ocupados,2021-08-23,2541
total,2021-08-24,3097
disponibles,2021-08-24,544
ocupados,2021-08-24,2553
total,2021-08-25,3086
disponibles,2021-08-25,563
ocupados,2021-08-25,2523
total,2021-08-26,3088
disponibles,2021-08-26,580
ocupados,2021-08-26,2508
total,2021-08-27,3019
disponibles,2021-08-27,570
ocupados,2021-08-27,2449
total,2021-08-28,2997
disponibles,2021-08-28,521
ocupados,2021-08-28,2476
total,2021-08-29,2976
disponibles,2021-08-29,547
ocupados,2021-08-29,2429
total,2021-08-30,2980
disponibles,2021-08-30,568
ocupados,2021-08-30,2412
total,2021-08-31,2993
disponibles,2021-08-31,535
ocupados,2021-08-31,2458
total,2021-09-01,2978
disponibles,2021-09-01,552
ocupados,2021-09-01,2426
total,2021-09-02,2924
disponibles,2021-09-02,509
ocupados,2021-09-02,2415
total,2021-09-03,2911
disponibles,2021-09-03,500
ocupados,2021-09-03,2411
total,2021-09-04,2872
disponibles,2021-09-04,485
ocupados,2021-09-04,2387
total,2021-09-05,2859
disponibles,2021-09-05,511
ocupados,2021-09-05,2348
total,2021-09-06,2847
disponibles,2021-09-06,515
ocupados,2021-09-06,2332
total,2021-09-07,2840
disponibles,2021-09-07,480
ocupados,2021-09-07,2360
total,2021-09-08,2830
disponibles,2021-09-08,474
ocupados,2021-09-08,2356
total,2021-09-09,2810
disponibles,2021-09-09,499
ocupados,2021-09-09,2311
total,2021-09-10,2743
disponibles,2021-09-10,482
ocupados,2021-09-10,2261
total,2021-09-11,2733
disponibles,2021-09-11,477
ocupados,2021-09-11,2256
total,2021-09-12,2658
disponibles,2021-09-12,478
ocupados,2021-09-12,2180
total,2021-09-13,2648
disponibles,2021-09-13,474
ocupados,2021-09-13,2174
total,2021-09-14,2644
disponibles,2021-09-14,478
ocupados,2021-09-14,2166
total,2021-09-15,2635
disponibles,2021-09-15,495
ocupados,2021-09-15,2140
total,2021-09-16,2630
disponibles,2021-09-16,491
ocupados,2021-09-16,2139
total,2021-09-17,2600
disponibles,2021-09-17,532
ocupados,2021-09-17,2068
total,2021-09-18,2580
disponibles,2021-09-18,536
ocupados,2021-09-18,2044
total,2021-09-19,2579
disponibles,2021-09-19,564
ocupados,2021-09-19,2015
total,2021-09-20,2581
disponibles,2021-09-20,568
ocupados,2021-09-20,2013
total,2021-09-21,2589
disponibles,2021-09-21,527
ocupados,2021-09-21,2062
total,2021-09-22,2502
disponibles,2021-09-22,433
ocupados,2021-09-22,2069
total,2021-09-23,2459
disponibles,2021-09-23,400
ocupados,2021-09-23,2059
total,2021-09-24,2423
disponibles,2021-09-24,360
ocupados,2021-09-24,2063
total,2021-09-25,2417
disponibles,2021-09-25,366
ocupados,2021-09-25,2051
total,2021-09-26,2397
disponibles,2021-09-26,367
ocupados,2021-09-26,2030
total,2021-09-27,2396
disponibles,2021-09-27,403
ocupados,2021-09-27,1993
total,2021-09-28,2397
disponibles,2021-09-28,353
ocupados,2021-09-28,2044
total,2021-09-29,2373
disponibles,2021-09-29,334
ocupados,2021-09-29,2039
total,2021-09-30,2351
disponibles,2021-09-30,335
ocupados,2021-09-30,2016
total,2021-10-01,2338
disponibles,2021-10-01,328
ocupados,2021-10-01,2010
total,2021-10-02,2298
disponibles,2021-10-02,352
ocupados,2021-10-02,1946
total,2021-10-03,2253
disponibles,2021-10-03,342
ocupados,2021-10-03,1911
total,2021-10-04,2253
disponibles,2021-10-04,332
ocupados,2021-10-04,1921
total,2021-10-05,2267
disponibles,2021-10-05,314
ocupados,2021-10-05,1953
total,2021-10-06,2224
disponibles,2021-10-06,321
ocupados,2021-10-06,1903
total,2021-10-07,2209
disponibles,2021-10-07,338
ocupados,2021-10-07,1871
total,2021-10-08,2186
disponibles,2021-10-08,314
ocupados,2021-10-08,1872
total,2021-10-09,2166
disponibles,2021-10-09,336
ocupados,2021-10-09,1830
total,2021-10-10,2151
disponibles,2021-10-10,338
ocupados,2021-10-10,1813
total,2021-10-11,2151
disponibles,2021-10-11,336
ocupados,2021-10-11,1815
total,2021-10-12,2147
disponibles,2021-10-12,335
ocupados,2021-10-12,1812
total,2021-10-13,2146
disponibles,2021-10-13,331
ocupados,2021-10-13,1815
total,2021-10-14,2131
disponibles,2021-10-14,309
ocupados,2021-10-14,1822
total,2021-10-15,2124
disponibles,2021-10-15,312
ocupados,2021-10-15,1812
total,2021-10-16,2116
disponibles,2021-10-16,318
ocupados,2021-10-16,1798
total,2021-10-17,2116
disponibles,2021-10-17,346
ocupados,2021-10-17,1770
total,2021-10-18,2109
disponibles,2021-10-18,357
ocupados,2021-10-18,1752
total,2021-10-19,2100
disponibles,2021-10-19,342
ocupados,2021-10-19,1758
total,2021-10-20,2099
disponibles,2021-10-20,322
ocupados,2021-10-20,1777
total,2021-10-21,2099
disponibles,2021-10-21,305
ocupados,2021-10-21,1794
total,2021-10-22,2095
disponibles,2021-10-22,280
ocupados,2021-10-22,1815
total,2021-10-23,2081
disponibles,2021-10-23,276
ocupados,2021-10-23,1805
total,2021-10-24,2095
disponibles,2021-10-24,306
ocupados,2021-10-24,1789
total,2021-10-25,2093
disponibles,2021-10-25,294
ocupados,2021-10-25,1799
total,2021-10-26,2096
disponibles,2021-10-26,290
ocupados,2021-10-26,1806
total,2021-10-27,2106
disponibles,2021-10-27,274
ocupados,2021-10-27,1832
total,2021-10-28,2082
disponibles,2021-10-28,232
ocupados,2021-10-28,1850
total,2021-10-29,2068
disponibles,2021-10-29,254
ocupados,2021-10-29,1814
total,2021-10-30,2069
disponibles,2021-10-30,249
ocupados,2021-10-30,1820
total,2021-10-31,2067
disponibles,2021-10-31,253
ocupados,2021-10-31,1814
total,2021-11-01,2069
disponibles,2021-11-01,238
ocupados,2021-11-01,1831
total,2021-11-02,2070
disponibles,2021-11-02,245
ocupados,2021-11-02,1825
total,2021-11-03,2067
disponibles,2021-11-03,227
ocupados,2021-11-03,1840
total,2021-11-04,2066
disponibles,2021-11-04,234
ocupados,2021-11-04,1832
total,2021-11-05,2062
disponibles,2021-11-05,231
ocupados,2021-11-05,1831
total,2021-11-06,2060
disponibles,2021-11-06,235
ocupados,2021-11-06,1825
total,2021-11-07,2060
disponibles,2021-11-07,242
ocupados,2021-11-07,1818
total,2021-11-08,2037
disponibles,2021-11-08,222
ocupados,2021-11-08,1815
total,2021-11-09,2037
disponibles,2021-11-09,218
ocupados,2021-11-09,1819
total,2021-11-10,2006
disponibles,2021-11-10,208
ocupados,2021-11-10,1798
total,2021-11-11,2009
disponibles,2021-11-11,200
ocupados,2021-11-11,1809
total,2021-11-12,2015
disponibles,2021-11-12,197
ocupados,2021-11-12,1818
total,2021-11-13,2026
disponibles,2021-11-13,208
ocupados,2021-11-13,1818
total,2021-11-14,2032
disponibles,2021-11-14,235
ocupados,2021-11-14,1797
total,2021-11-15,2039
disponibles,2021-11-15,223
ocupados,2021-11-15,1816
total,2021-11-16,2036
disponibles,2021-11-16,191
ocupados,2021-11-16,1845
total,2021-11-17,2044
disponibles,2021-11-17,213
ocupados,2021-11-17,1831
total,2021-11-18,2048
disponibles,2021-11-18,191
ocupados,2021-11-18,1857
total,2021-11-19,2058
disponibles,2021-11-19,212
ocupados,2021-11-19,1846
total,2021-11-20,2064
disponibles,2021-11-20,200
ocupados,2021-11-20,1864
total,2021-11-21,2062
disponibles,2021-11-21,207
ocupados,2021-11-21,1855
total,2021-11-22,2058
disponibles,2021-11-22,223
ocupados,2021-11-22,1835
total,2021-11-23,2057
disponibles,2021-11-23,203
ocupados,2021-11-23,1854
total,2021-11-24,2065
disponibles,2021-11-24,200
ocupados,2021-11-24,1865
total,2021-11-25,2073
disponibles,2021-11-25,183
ocupados,2021-11-25,1890
total,2021-11-26,2075
disponibles,2021-11-26,183
ocupados,2021-11-26,1892
total,2021-11-27,2074
disponibles,2021-11-27,200
ocupados,2021-11-27,1874
total,2021-11-28,2073
disponibles,2021-11-28,195
ocupados,2021-11-28,1878
total,2021-11-29,2088
disponibles,2021-11-29,189
ocupados,2021-11-29,1899
total,2021-11-30,2086
disponibles,2021-11-30,197
ocupados,2021-11-30,1889
total,2021-12-01,2080
disponibles,2021-12-01,187
ocupados,2021-12-01,1893
total,2021-12-02,2076
disponibles,2021-12-02,169
ocupados,2021-12-02,1907
total,2021-12-03,2080
disponibles,2021-12-03,180
ocupados,2021-12-03,1900
total,2021-12-04,2067
disponibles,2021-12-04,188
ocupados,2021-12-04,1879
total,2021-12-05,2070
disponibles,2021-12-05,214
ocupados,2021-12-05,1856
total,2021-12-06,2073
disponibles,2021-12-06,209
ocupados,2021-12-06,1864
total,2021-12-07,2068
disponibles,2021-12-07,199
ocupados,2021-12-07,1869
total,2021-12-08,2070
disponibles,2021-12-08,196
ocupados,2021-12-08,1874
total,2021-12-09,2067
disponibles,2021-12-09,200
ocupados,2021-12-09,1867
total,2021-12-10,2065
disponibles,2021-12-10,186
ocupados,2021-12-10,1879
total,2021-12-11,2060
disponibles,2021-12-11,197
ocupados,2021-12-11,1863
total,2021-12-12,2061
disponibles,2021-12-12,205
ocupados,2021-12-12,1856
total,2021-12-13,2057
disponibles,2021-12-13,212
ocupados,2021-12-13,1845
total,2021-12-14,2059
disponibles,2021-12-14,197
ocupados,2021-12-14,1862
total,2021-12-15,2045
disponibles,2021-12-15,201
ocupados,2021-12-15,1844
total,2021-12-16,2052
disponibles,2021-12-16,208
ocupados,2021-12-16,1844
total,2021-12-17,2055
disponibles,2021-12-17,218
ocupados,2021-12-17,1837
total,2021-12-18,2052
disponibles,2021-12-18,217
ocupados,2021-12-18,1835
total,2021-12-19,2043
disponibles,2021-12-19,239
ocupados,2021-12-19,1804
total,2021-12-20,2045
disponibles,2021-12-20,241
ocupados,2021-12-20,1804
total,2021-12-21,2041
disponibles,2021-12-21,241
ocupados,2021-12-21,1800
total,2021-12-22,2032
disponibles,2021-12-22,216
ocupados,2021-12-22,1816
total,2021-12-23,2015
disponibles,2021-12-23,206
ocupados,2021-12-23,1809
total,2021-12-24,2008
disponibles,2021-12-24,246
ocupados,2021-12-24,1762
total,2021-12-25,2003
disponibles,2021-12-25,250
ocupados,2021-12-25,1753
total,2021-12-26,1995
disponibles,2021-12-26,297
ocupados,2021-12-26,1698
total,2021-12-27,1993
disponibles,2021-12-27,277
ocupados,2021-12-27,1716
total,2021-12-28,1996
disponibles,2021-12-28,262
ocupados,2021-12-28,1734
total,2021-12-29,1976
disponibles,2021-12-29,268
ocupados,2021-12-29,1708
total,2021-12-30,1971
disponibles,2021-12-30,255
ocupados,2021-12-30,1716
total,2021-12-31,1967
disponibles,2021-12-31,238
ocupados,2021-12-31,1729
total,2022-01-01,1962
disponibles,2022-01-01,249
ocupados,2022-01-01,1713
total,2022-01-02,1940
disponibles,2022-01-02,270
ocupados,2022-01-02,1670
total,2022-01-03,1936
disponibles,2022-01-03,255
ocupados,2022-01-03,1681
total,2022-01-04,1938
disponibles,2022-01-04,225
ocupados,2022-01-04,1713
total,2022-01-05,1936
disponibles,2022-01-05,238
ocupados,2022-01-05,1698
total,2022-01-06,1956
disponibles,2022-01-06,256
ocupados,2022-01-06,1700
total,2022-01-07,1952
disponibles,2022-01-07,231
ocupados,2022-01-07,1721
total,2022-01-08,1958
disponibles,2022-01-08,233
ocupados,2022-01-08,1725
total,2022-01-09,1963
disponibles,2022-01-09,240
ocupados,2022-01-09,1723
total,2022-01-10,1968
disponibles,2022-01-10,235
ocupados,2022-01-10,1733
total,2022-01-11,1989
disponibles,2022-01-11,253
ocupados,2022-01-11,1736
total,2022-01-12,2055
disponibles,2022-01-12,252
ocupados,2022-01-12,1803
total,2022-01-13,2068
disponibles,2022-01-13,254
ocupados,2022-01-13,1814
total,2022-01-14,2080
disponibles,2022-01-14,250
ocupados,2022-01-14,1830
total,2022-01-15,2088
disponibles,2022-01-15,291
ocupados,2022-01-15,1797
total,2022-01-16,2087
disponibles,2022-01-16,327
ocupados,2022-01-16,1760
total,2022-01-17,2100
disponibles,2022-01-17,312
ocupados,2022-01-17,1788
total,2022-01-18,2091
disponibles,2022-01-18,306
ocupados,2022-01-18,1785
total,2022-01-19,2107
disponibles,2022-01-19,305
ocupados,2022-01-19,1802
total,2022-01-20,2091
disponibles,2022-01-20,281
ocupados,2022-01-20,1810
total,2022-01-21,2092
disponibles,2022-01-21,282
ocupados,2022-01-21,1810
total,2022-01-22,2098
disponibles,2022-01-22,303
ocupados,2022-01-22,1795
total,2022-01-23,2116
disponibles,2022-01-23,331
ocupados,2022-01-23,1785
total,2022-01-24,2121
disponibles,2022-01-24,352
ocupados,2022-01-24,1769
total,2022-01-25,2119
disponibles,2022-01-25,307
ocupados,2022-01-25,1812
total,2022-01-26,2119
disponibles,2022-01-26,307
ocupados,2022-01-26,1812
total,2022-01-27,2119
disponibles,2022-01-27,294
ocupados,2022-01-27,1825
total,2022-01-28,2116
disponibles,2022-01-28,292
ocupados,2022-01-28,1824
total,2022-01-29,2123
disponibles,2022-01-29,305
ocupados,2022-01-29,1818
total,2022-01-30,2124
disponibles,2022-01-30,331
ocupados,2022-01-30,1793
total,2022-01-31,2121
disponibles,2022-01-31,316
ocupados,2022-01-31,1805
total,2022-02-01,2122
disponibles,2022-02-01,278
ocupados,2022-02-01,1844
total,2022-02-02,2127
disponibles,2022-02-02,274
ocupados,2022-02-02,1853
total,2022-02-03,2128
disponibles,2022-02-03,269
ocupados,2022-02-03,1859
total,2022-02-04,2125
disponibles,2022-02-04,256
ocupados,2022-02-04,1869
total,2022-02-05,2126
disponibles,2022-02-05,256
ocupados,2022-02-05,1870
total,2022-02-06,2115
disponibles,2022-02-06,266
ocupados,2022-02-06,1849
total,2022-02-07,2114
disponibles,2022-02-07,244
ocupados,2022-02-07,1870
total,2022-02-08,2114
disponibles,2022-02-08,222
ocupados,2022-02-08,1892
total,2022-02-09,2128
disponibles,2022-02-09,203
ocupados,2022-02-09,1925
total,2022-02-10,2124
disponibles,2022-02-10,221
ocupados,2022-02-10,1903
total,2022-02-11,2117
disponibles,2022-02-11,173
ocupados,2022-02-11,1944
total,2022-02-12,2201
disponibles,2022-02-12,174
ocupados,2022-02-12,2027
total,2022-02-13,2248
disponibles,2022-02-13,204
ocupados,2022-02-13,2044
total,2022-02-14,2266
disponibles,2022-02-14,215
ocupados,2022-02-14,2051
total,2022-02-15,2290
disponibles,2022-02-15,191
ocupados,2022-02-15,2099
total,2022-02-16,2346
disponibles,2022-02-16,189
ocupados,2022-02-16,2157
total,2022-02-17,2359
disponibles,2022-02-17,182
ocupados,2022-02-17,2177
total,2022-02-18,2384
disponibles,2022-02-18,201
ocupados,2022-02-18,2183
total,2022-02-19,2392
disponibles,2022-02-19,202
ocupados,2022-02-19,2190
total,2022-02-20,2400
disponibles,2022-02-20,209
ocupados,2022-02-20,2191
total,2022-02-21,2413
disponibles,2022-02-21,192
ocupados,2022-02-21,2221
total,2022-02-22,2419
disponibles,2022-02-22,166
ocupados,2022-02-22,2253
total,2022-02-23,2438
disponibles,2022-02-23,203
